condition,curve_channel,to_be_normalized
Green07_Cy3,,False
Green08_Cy3,,False
Green09_Quench,,False
Green10_20,green,True
Green11_60,green,True
Green12_57.5,green,True
Green13_55,green,True
Green14_52.5,green,True
Green15_50,green,True
Green16_47.5,green,True
Green17_45,green,True
Green18_42.5,green,True
Green19_40,green,True
Green20_37.5,green,True
Green21_35,green,True
Green22_32.5,green,True
Green23_30,green,True
Green24_27.5,green,True
Green25_25,green,True
Green26_22.5,green,True
Green27_20,,False
